Nº de nós: 36
Total Geral Contatos: 10604
Total Tipo Contato (A -> B): 1032
Total Tempo Contato: 11449315
Total Tempo Inter Contato: 463913860
Total Contatos(tempo = 0): 3764
Total Conexões(tempo > 0): 6876
Grau Geral: 1032
Grau Medio: 57.3333333333333
Densidade: 0.819047619047619
Media Nº Contatos: 10.2751937984496
Media Tempo de Contatos: 11094.2974806202
Media Tempo Inter Contatos: 449528.934108527
 
"a" "b" "num_contatos" "tempo_contatos" "inter_contatos" "media_tcontatos" "media_intercon" "porc_contatos" "porc_tempo_cont" "porc_inter_cont" "porc_media_tcont" "porc_media_tinter"
"0" "1" 20 16193 591335 809.65 31122.8947368421 0.001886080724255 0.0014143204200426 0.0012746655165681 0.000940895778467396 0.000433014728714157
"0" "2" 2 21 343443 10.5 343443 0.0001886080724255 1.8341708652439e-06 0.000740316316481685 1.22020696275028e-05 0.00477834336205662
"0" "3" 38 80548 550072 2119.68421052632 14866.8108108108 0.0035835533760845 0.00703518070731742 0.00118572012485249 0.00246328898334861 0.00020684284365321
"0" "4" 13 21975 585549 1690.38461538462 48795.75 0.00122595247076575 0.00191932879827308 0.00126219337357155 0.00196439912135073 0.000678898239617853
"0" "5" 16 11043 597619 690.1875 39841.2666666667 0.001508864579404 0.000964511850708973 0.00128821113471367 0.000802068183907819 0.000554313968002243
"0" "8" 4 1140 519609 285 173203 0.000377216144851 9.95692755418119e-05 0.00112005491709172 0.000331199032746505 0.00240978388069721
"0" "9" 10 4043 605146 404.3 67238.4444444444 0.000943040362127499 0.000353121562294338 0.00130443612958664 0.000469837785752323 0.000935492569905701
"0" "10" 2 595 1112 297.5 1112 0.0001886080724255 5.19681745152439e-05 2.39699671831318e-06 0.00034572530611258 1.54713236799322e-05
"0" "12" 3 5191 342313 1730.33333333333 171156.5 0.00028291210863825 0.000453389569594338 0.00073788051945678 0.00201082360115451 0.00238131080164057
"0" "13" 19 16909 584972 889.947368421053 32498.4444444444 0.00179177668804225 0.00147685691240044 0.00126094960818804 0.00103420950040825 0.000452152835516452
"0" "14" 25 15149 593515 605.96 24729.7916666667 0.00235760090531875 0.00132313592559904 0.00127936466481083 0.000704187248712534 0.000344067096593786
"0" "16" 7 7061 597611 1008.71428571429 99601.8333333333 0.000660128253489249 0.000616718118070819 0.00128819389013297 0.00117222875700405 0.00138576636925779
