Nº de nós: 41
Total Geral Contatos: 22447
Total Tipo Contato (A -> B): 1567
Total Tempo Contato: 5198483
Total Tempo Inter Contato: 253145561
Total Contatos(tempo = 0): 11740
Total Conexões(tempo > 0): 10716
Grau Geral: 1567
Grau Medio: 76.4390243902439
Densidade: 0.955487804878049
Media Nº Contatos: 14.3248245054244
Media Tempo de Contatos: 3317.47479259732
Media Tempo Inter Contatos: 161547.901084876
 
"a" "b" "num_contatos" "tempo_contatos" "inter_contatos" "media_tcontatos" "media_intercon" "porc_contatos" "porc_tempo_cont" "porc_inter_cont" "porc_media_tcont" "porc_media_tinter"
"0" "1" 4 7 173478 1.75 57826 0.000178197531964182 1.34654667525122e-06 0.000685289520048112 6.31093661262035e-06 0.00221066652149409
"0" "2" 10 110 236331 11 26259 0.000445493829910456 2.11600191825192e-05 0.000933577500100821 3.96687444221851e-05 0.00100387182561327
"0" "3" 8 2251 226539 281.375 32362.7142857143 0.000356395063928365 0.000433010937998643 0.000894896197686042 0.00101470845107203 0.00123721455774404
"0" "4" 18 2360 244191 131.111111111111 14364.1764705882 0.00080188889383882 0.000453978593370412 0.000964626829857783 0.000472819377961398 0.000549137136104218
"0" "5" 22 2666 174400 121.181818181818 8304.7619047619 0.000980086425803003 0.000512841919459966 0.000688931693335124 0.000437011870370022 0.000317487965825694
"0" "6" 6 358 227960 59.6666666666667 45592 0.000267296297946273 6.88662442485625e-05 0.000900509568880017 0.000215172886411246 0.00174296524137859
"0" "7" 20 477 244895 23.85 12889.2105263158 0.000890987659820911 9.17575377278333e-05 0.000967407838528126 8.60090504062831e-05 0.000492749735396111
"0" "8" 15 368 245483 24.5333333333333 17534.5 0.000668240744865684 7.07898823560643e-05 0.000969730612815289 8.84733208931158e-05 0.000670337428166189
"0" "9" 5 600 245257 120 61314.25 0.000222746914955228 0.000115418286450105 0.000968837845827366 0.00043274993915111 0.00234402102454811
"0" "10" 10 4375 162996 437.5 18110.6666666667 0.000445493829910456 0.000841591672032014 0.000643882513112683 0.00157773415315509 0.000692364066024607
"0" "11" 3 1091 602 363.666666666667 301 0.000133648148973137 0.000209868917528441 2.37807843685633e-06 0.00131147273226072 1.15071183026618e-05
"0" "12" 14 2271 192683 162.214285714286 14821.7692307692 0.000623691361874638 0.000436858214213647 0.000761154962539517 0.000584985185602482 0.000566630737518983
"0" "13" 12 2814 169879 234.5 15443.5454545455 0.000534592595892547 0.000541311763450991 0.000671072403280261 0.000845665506091127 0.000590401011820562
"0" "14" 19 1722 179529 90.6315789473684 9973.83333333333 0.000846438276829866 0.000331250482111801 0.000709192763605284 0.000326840085622022 0.000381295947168432
"0" "15" 23 2035 188026 88.4782608695652 8546.63636363636 0.00102463580879405 0.000391460354876605 0.000742758432173338 0.000319074683395836 0.000326734736631876
"0" "16" 29 4417 241077 152.310344827586 8609.89285714286 0.00129193210674032 0.000849670952083521 0.0009523256068472 0.000549269103801854 0.000329153008904935
"0" "17" 3 112 101773 37.3333333333333 50886.5 0.000133648148973137 2.15447468040196e-05 0.000402033516202956 0.000134633314402568 0.00194537201165581
"0" "18" 30 5624 240469 187.466666666667 8292.03448275862 0.00133648148973137 0.00108185407165898 0.000949923826631904 0.000676051571607178 0.000317001401205496
"0" "19" 13 3058 231362 235.230769230769 19280.1666666667 0.000579141978883592 0.000588248533274034 0.00091394847725574 0.000848300842259035 0.000737073617037773
"0" "20" 8 134 233572 16.75 33367.4285714286 0.000356395063928365 2.57767506405234e-05 0.000922678632314631 6.04046790065091e-05 0.00127562441204998
"0" "21" 21 1722 233185 82 11659.25 0.000935537042811957 0.000331250482111801 0.000921149867605223 0.000295712458419925 0.000445728800898038
"0" "22" 3 371 78121 123.666666666667 39060.5 0.000133648148973137 7.13669737883148e-05 0.000308601105590787 0.000445972853958505 0.00149326842013661
